id,text,created_at,retweets,likes,hashtags,mentions,label
251510,MITRE ATT&CK reports new TTP for lateral movement via SMB protocol. #MITRE #ThreatIntel,2025-03-02 17:17:19,349,163,#Hacking #Malware,@CyberThreatSec,threat
346630,⚠️ New malware exploiting CVE-2024-1234. Update your systems now! #Malware #CVE2024,2025-03-05 04:26:24,59,912,#Hacking #Malware,@CyberThreatSec,threat
382110,⚠️ New malware exploiting CVE-2024-1234. Update your systems now! #Malware #CVE2024,2025-03-03 02:51:34,101,722,#CyberSecurity #Threat,@CyberThreatSec,threat
199581,📚 Reading a new book on productivity. Highly recommend! #Productivity,2025-03-22 11:16:30,8,206,#Life #Fun,@random_user,normal
720899,🌞 Beautiful day at the beach! #Vacation #BeachLife,2025-03-23 10:18:02,26,200,#Travel #Foodie,@random_user,normal
824938,🍕 Craving some pizza tonight! What's your favorite topping? #Foodie,2025-03-18 20:58:55,92,292,#Life #Fun,@random_user,normal
502397,🌞 Beautiful day at the beach! #Vacation #BeachLife,2025-03-04 05:35:07,21,60,#Travel #Foodie,@random_user,normal
713430,🌞 Beautiful day at the beach! #Vacation #BeachLife,2025-03-17 03:47:49,50,242,#Life #Fun,@random_user,normal
280432,🏃‍♂️ Morning run complete! Feeling energized. #Fitness #MorningRun,2025-03-21 03:59:13,94,259,#Life #Fun,@random_user,normal
792741,💻 Just completed my first Python project. So proud! #Python #Coding,2025-03-07 21:54:58,56,43,#Travel #Foodie,@random_user,normal
573782,🔍 New MITRE ATT&CK technique: PowerShell scripts executing malicious payloads. #MITRE #TTP,2025-03-30 15:43:04,474,693,#Hacking #Malware,@CyberThreatSec,threat
402007,📸 Sharing my latest travel photos! #Travel #Photography,2025-03-25 18:42:40,88,57,#Travel #Foodie,@random_user,normal
481936,🍔 Tried the new burger place. Totally worth it! #Foodie #BurgerLover,2025-03-15 15:41:36,75,147,#Life #Fun,@random_user,normal
862373,🎵 Listening to some old-school rock classics. Best way to unwind! #Music,2025-03-27 22:31:35,43,146,#Life #Fun,@random_user,normal
753050,💻 Just completed my first Python project. So proud! #Python #Coding,2025-03-28 16:49:19,39,218,#Life #Fun,@random_user,normal
596813,🌞 Beautiful day at the beach! #Vacation #BeachLife,2025-03-07 08:21:58,93,144,#Life #Fun,@random_user,normal
914654,⚠️ New malware exploiting CVE-2024-1234. Update your systems now! #Malware #CVE2024,2025-03-25 16:12:47,133,386,#Hacking #Malware,@CyberThreatSec,threat
867776,🚗 Just bought a new car! Excited for road trips! #NewCar,2025-03-25 16:33:36,91,146,#Life #Fun,@random_user,normal
317290,⚠️ New malware exploiting CVE-2024-1234. Update your systems now! #Malware #CVE2024,2025-03-30 18:14:36,323,988,#CyberSecurity #Threat,@CyberThreatSec,threat
180757,🚗 Just bought a new car! Excited for road trips! #NewCar,2025-03-24 18:18:31,82,200,#Life #Fun,@random_user,normal
433404,MITRE ATT&CK reports new TTP for lateral movement via SMB protocol. #MITRE #ThreatIntel,2025-03-11 19:54:14,72,556,#Hacking #Malware,@CyberThreatSec,threat
742900,🚨 New ransomware variant detected targeting financial institutions. Be alert! #CyberThreat #Ransomware,2025-03-21 02:46:39,195,328,#CyberSecurity #Threat,@CyberThreatSec,threat
953530,🎥 Watching a space documentary. Mind-blowing! #Space #NASA,2025-03-14 13:09:36,35,155,#Travel #Foodie,@random_user,normal
716144,🍕 Craving some pizza tonight! What's your favorite topping? #Foodie,2025-03-31 02:19:59,25,248,#Travel #Foodie,@random_user,normal
418807,🎵 Listening to some old-school rock classics. Best way to unwind! #Music,2025-03-26 12:03:01,10,298,#Travel #Foodie,@random_user,normal
162148,🎥 Watching a space documentary. Mind-blowing! #Space #NASA,2025-03-10 13:24:37,28,188,#Life #Fun,@random_user,normal
312847,🔥 Massive DDoS attack detected on major e-commerce sites. #DDoS #CyberAttack,2025-03-13 14:42:03,140,752,#CyberSecurity #Threat,@CyberThreatSec,threat
140694,🎵 Listening to some old-school rock classics. Best way to unwind! #Music,2025-03-06 19:10:54,44,143,#Life #Fun,@random_user,normal
693044,💻 Just completed my first Python project. So proud! #Python #Coding,2025-03-14 10:19:02,32,134,#Life #Fun,@random_user,normal
648811,🍔 Tried the new burger place. Totally worth it! #Foodie #BurgerLover,2025-03-24 07:07:23,70,108,#Life #Fun,@random_user,normal
867700,🎵 Listening to some old-school rock classics. Best way to unwind! #Music,2025-03-30 23:10:07,38,123,#Travel #Foodie,@random_user,normal
625963,🎥 Watching a space documentary. Mind-blowing! #Space #NASA,2025-03-08 16:41:39,71,112,#Travel #Foodie,@random_user,normal
641661,💻 Just completed my first Python project. So proud! #Python #Coding,2025-03-13 14:50:28,44,130,#Travel #Foodie,@random_user,normal
533876,📚 Reading a new book on productivity. Highly recommend! #Productivity,2025-03-14 03:27:02,12,167,#Life #Fun,@random_user,normal
209221,🍕 Craving some pizza tonight! What's your favorite topping? #Foodie,2025-03-07 13:20:54,79,212,#Life #Fun,@random_user,normal
